YNA_NO,YNA_TTL,YNA_CN,YNA_YMD,YNA_WRTR_NM,disaster_type
737476,"일본 도쿄서 규모 4.8 지진…""쓰나미 우려 없어""","일본 도쿄서 규모 4.8 지진…""쓰나미 우려 없어""

    (도쿄=연합뉴스) 경수현 특파원 = 일본 도쿄에서 28일 오전 9시 3분께 규모 4.8의 지진이 발생했다고 일본 기상청이 밝혔다. 
    진원지는 도쿄 앞 바다 지역인 도쿄만의 깊이 80㎞로 추정됐다. 

    이번 지진으로 인해 도쿄 23구와 가나가와현 동쪽 지역에서는 진도 4의 흔들림이 감지됐다.
    일본 기상청의 지진 등급인 진도는 절대 강도를 의미하는 규모와는 달리 해당 지역에 있는 사람의 느낌이나 주변 물체 등의 흔들림 정도를 수치로 나타낸 상대적 개념으로, 0부터 7까지로 표시된다. 
    진도 4는 대부분의 사람이 놀라고 천장에 매달린 전등이 크게 흔들리는 수준의 흔들림이다.
    NHK는 ""이번 지진으로 인한 쓰나미 우려는 없다""고 전했다.
    evan@yna.co.kr
(끝)

",2024-01-28 09:23:31,연합뉴스,지진
737508,인천 섬 선착장서 기념사진 찍던 여행객 2명 추락 사고,"인천 섬 선착장서 기념사진 찍던 여행객 2명 추락 사고

    (인천=연합뉴스) 김상연 기자 = 인천 섬 선착장에서 여행객 2명이 기념사진을 찍다가 갯벌로 추락해 다쳤다.
    29일 인천 송도소방서에 따르면 전날 오후 2시 31분께 옹진군 영흥면 한 선착장에서 A(64)씨와 B(59)씨 등 여성 2명이 5ｍ 아래 갯벌로 떨어졌다.
    이 사고로 A씨가 허리 등을 다쳐 119 구급대에 의해 병원으로 옮겨져 치료를 받았고 B씨도 가슴 통증을 호소해 현장 처치를 받았다.
    여행 중이던 이들은 선착장 방파제 부근에서 기념사진을 찍다가 발을 헛디뎌 추락한 것으로 확인됐다.
    소방당국 관계자는 ""A씨 등을 구하러 다른 일행이 갯벌에 들어갔다가 고립돼 함께 구조됐다""며 ""이들 모두 생명에 지장은 없었다""고 말했다.
    goodluck@yna.co.kr
(끝)

",2024-01-29 08:24:52,연합뉴스,다중밀집건축물붕괴대형사고
737509,불법유턴 80대 운전자 차량 양방향 추돌…3명 중경상,"불법유턴 80대 운전자 차량 양방향 추돌…3명 중경상

    (곡성=연합뉴스) 천정인 기자 = 불법 유턴을 하던 승용차가 양방향을 지나던 차량과 연쇄 추돌해 3명이 중경상을 입었다.
    29일 전남 곡성경찰서에 따르면 전날 오후 7시 32분께 곡성군 곡성읍 편도 2차선 도로에서 80대 A씨가 운전하던 차량이 유턴하던 중 마주 오는 승용차와 부딪혔다.
    사고 충격으로 A씨의 차량이 밀려나자 뒤따르던 승용차가 다시 충격했다.
    이 사고로 A씨가 중상을 입었고 나머지 두 차량 운전자도 가벼운 통증을 호소해 병원으로 이송됐다.
    경찰은 A씨가 유턴이 허용되지 않은 구역에서 유턴하다 사고가 난 것으로 보고 정확한 사고 경위를 조사 중이다. 
    iny@yna.co.kr
(끝)

",2024-01-29 08:41:25,연합뉴스,다중밀집건축물붕괴대형사고
737534,[게시판] 노동부·10개 공공기관 '중대재해 감축' 공동선언문,"[게시판] 노동부·10개 공공기관 '중대재해 감축' 공동선언문

    ▲ 고용노동부와 한국산업안전보건공단은 29일 주요 10개 공공기관과 안전보건리더 회의를 개최하고 중대재해 감축을 위한 공동선언문을 채택했다. 국가철도공단, 인천국제공항공사, 한국농어촌공사 등 이들 공공기관은 중대재해처벌법 등에서 규정한 안전·보건 확보 의무를 준수하고, 위험성평가 중심의 자기규율 예방체계를 구축·이행하는 등 실질적인 중대재해 감축을 위해 노력하기로 했다. (서울=연합뉴스)

(끝)

",2024-01-29 14:00:03,연합뉴스,기타
737560,화재 의심 신고로 수인분당선 오리역 1시간째 무정차 통과,"화재 의심 신고로 수인분당선 오리역 1시간째 무정차 통과


    (성남=연합뉴스) 이영주 기자 = 29일 오후 8시 54분께 수인분당선 오리역 승강장에서 화재 의심 신고가 접수돼 열차가 1시간째 무정차 통과 중이다.
    경기소방재난본부와 한국철도공사(코레일)에 따르면 이날 ""죽전역 방향 승강장에서 타는 냄새가 난다""는 역무원의 신고가 소방으로 접수됐다.
    이에 따라 코레일 측은 오리역에 있던 승객들을 대피시킨 후 전동차를 무정차 통과시키고 있다.
    소방 당국은 현장을 조사한 결과 화재 등 특이사항은 없는 것으로 파악했다.
    코레일 관계자는 ""현재 소방당국이 정확한 원인을 조사 중""이라고 말했다.
    young86@yna.co.kr
(끝)

",2024-01-29 22:20:00,연합뉴스,기타
736430,필리핀 제너럴산토스 남동쪽 바다서 규모 6.7 지진,"필리핀 제너럴산토스 남동쪽 바다서 규모 6.7 지진

    (서울=연합뉴스) 9일 오전 5시 48분 43초(한국시간) 필리핀 제너럴산토스 남동쪽 179km 해역에서 규모 6.7의 지진이 발생했다고 기상청이 외국 관측기관 등을 인용해 전했다.
    진앙은 북위 4.86도, 동경 126.19도이며 지진 발생 깊이는 70km다.
    weather_news@yna.co.kr
(끝)

",2024-01-09 06:10:22,연합뉴스,지진
736921,횡성 아파트 화재 46분 만에 진화…주민 19명 대피(종합),"횡성 아파트 화재 46분 만에 진화…주민 19명 대피(종합)
10여 가구 전기 공급 끊겨…임시 거처로 옮겨 생활

    (횡성=연합뉴스) 이재현 강태현 기자 = 18일 오전 9시 14분께 강원 횡성군 횡성읍 북천리 한 아파트에서 불이 나 46분 만인 오전 10시께 진화됐다.
    화재로 인해 다친 사람은 없었으나 주민 19명이 대피했다.
    또 10여가구에 전기공급이 끊겨 복구 작업이 마무리될 때까지 임시 거처에서 생활할 것으로 보인다.
    경찰과 소방 당국은 남은 불씨를 끄는 대로 화재 원인과 피해 규모를 조사할 방침이다.
    taetae@yna.co.kr
    jlee@yna.co.kr
(끝)

",2024-01-18 18:06:12,연합뉴스,지진
736659,아산 아파트 공사 현장서 차량 추돌사고로 60대 숨져,"아산 아파트 공사 현장서 차량 추돌사고로 60대 숨져

    (아산=연합뉴스) 강수환 기자 = 충남 아산시 아파트 공사 현장 내 차량 추돌사고로 1명이 숨지는 사고가 발생했다.
    13일 경찰과 소방 당국에 따르면 전날 오후 1시 49분께 아산시 용화동 한 아파트 공사 현장에서 1t 트럭이 정차돼 있던 25t 화물차 적재함을 들이받는 사고를 냈다.
    이 사고로 1t 트럭 운전자 A(65)씨가 머리를 크게 다쳐 병원으로 옮겨졌으나 숨졌다.
    경찰은 공사 현장 내 안전 관리 여부 등 자세한 사고 경위를 조사하고 있다.
    swan@yna.co.kr
(끝)

",2024-01-13 09:23:41,연합뉴스,다중밀집건축물붕괴대형사고
736904,대전 다세대주택 원룸에 불…주민 1명 숨져,"대전 다세대주택 원룸에 불…주민 1명 숨져

    (대전=연합뉴스) 강수환 기자 = 18일 오전 6시 1분 대전 서구 용문동 4층짜리 다세대주택 건물 4층 원룸에서 불이 났다. 
    불은 출동한 소방당국의 진화 작업으로 20여분 만에 꺼졌지만, 집 안에서 40대 여성이 숨진 채 발견됐다. 같은 건물에 거주하는 주민 4명이 대피했다. 
    이 불로 집 내부 14.6㎡가 타고 2천100여만원의 재산 피해가 났다.
    경찰과 소방당국은 ""'펑' 소리와 함께 연기가 났다""는 최초 신고를 토대로 자세한 화재 원인을 조사하고 있다.
    swan@yna.co.kr
(끝)

",2024-01-18 13:28:23,연합뉴스,기타
737019,단양 채석장서 중장비 15m 아래로 굴러…60대 운전자 숨져,"단양 채석장서 중장비 15m 아래로 굴러…60대 운전자 숨져

    (단양=연합뉴스) 전창해 기자 = 지난 20일 오후 10시7분께 충북 단양군 매포읍의 한 채석장에서 작업하던 중장비 '페이로더'가 15m 아래로 굴러떨어졌다.

    이 사고로 운전자 A(66)씨가 현장에서 숨졌다.
    경찰은 제설작업 중이던 중장비가 경사로에서 미끄러져 사고가 난 것으로 보고 정확한 경위를 조사하고 있다.
    jeonch@yna.co.kr
(끝)

",2024-01-21 14:01:29,연합뉴스,다중밀집건축물붕괴대형사고
737300,"기상청 ""경북 경주 남남서쪽서 규모 2.0 지진…피해 없을 듯""","기상청 ""경북 경주 남남서쪽서 규모 2.0 지진…피해 없을 듯""

    (서울=연합뉴스) 24일 오후 7시 12분 7초 경북 경주시 남남서쪽 11㎞ 지역에서 규모 2.0의 지진이 발생했다고 기상청이 밝혔다.
    진앙은 북위 35.76도, 동경 129.19도이며 지진 발생 깊이는 18㎞이다.
    기상청은 ""지진피해는 없을 것""이라고 내다봤다.
(끝)

",2024-01-24 19:27:37,연합뉴스,지진
735984,대구 성서산업단지 큰 불…대응 1단계 발령하고 주민 대피 통보,"대구 성서산업단지 큰 불…대응 1단계 발령하고 주민 대피 통보
소방 ""현재까지 확인된 인명피해는 없어""

    (대구=연합뉴스) 윤관식 기자 = 2일 오전 5시 51분께 대구 달서구 대천동 성서2차일반산업단지 한 섬유제품제조 공장에서 원인이 확인되지 않은 불이 났다.
    소방 당국은 대응 1단계를 발령하고 인근 주민에게 성서체육공원으로 대피하라고 안전안내 문자를 통보했다.
    현장에서는 소방차 48대와 소방관 129명이 출동해 연소 확대를 저지 중이다.
    대구소방안전본부 관계자는 ""큰불이 나 현장 대응 중""이라며 ""현재까지 확인된 인명 피해는 없으며 다른 공장으로 연소가 퍼지는 것을 방지하고 있다""라고 말했다.
    psik@yna.co.kr
(끝)

",2024-01-02 07:25:47,연합뉴스,기타
737119,음성서 역주행 승용차·1t 트럭 충돌…2명 사상,"음성서 역주행 승용차·1t 트럭 충돌…2명 사상

    (음성=연합뉴스) 이성민 기자 = 23일 오전 1시 8분께 충북 음성군 맹동면 편도 2차선 1차로에서 역주행하던 승용차가 1t 트럭과 충돌했다.

    이 사고로 승용차 운전자(40대)가 심정지 상태로 병원으로 옮겨졌으나 숨졌고, 트럭 운전자(50대)도 중상을 입었다.
    경찰은 정확한 사고 경위를 조사 중이다.
    chase_arete@yna.co.kr
(끝)

",2024-01-23 08:29:29,연합뉴스,다중밀집건축물붕괴대형사고
737120,[속보] 中 강진 발생 신장자치구서 5.2 규모 추가 지진,"[속보] 中 강진 발생 신장자치구서 5.2 규모 추가 지진
(끝)

",2024-01-23 08:37:19,연합뉴스,지진
737331,"경기광주 접착제 공장 창고서 화재…""위험물 연소 없어""","경기광주 접착제 공장 창고서 화재…""위험물 연소 없어""

    (경기광주=연합뉴스) 강영훈 기자 = 25일 오전 10시 49분 경기도 광주시 초월읍 소재 한 접착제 제조 공장의 단열재 보관 창고에서 원인을 알 수 없는 불이 났다.
    소방당국은 펌프차 등 장비 34대와 소방관 등 인력 85명을 동원해 진화 작업을 벌여 오전 11시 7분 큰 불길을 잡았다.

    소방당국은 한때 긴급오염통제반 운영 및 비상발령을 검토했으나, 위험물이나 화학물질이 연소한 사실은 없는 것으로 나타났다.
    인명피해는 발생하지 않았다.
    소방당국은 진화를 마무리하는 대로 자세한 화재 경위를 조사할 방침이다.
    kyh@yna.co.kr
(끝)

",2024-01-25 11:36:25,연합뉴스,기타
736087,양산 금속 가공공장서 불…2개 동 전소,"양산 금속 가공공장서 불…2개 동 전소

    (양산=연합뉴스) 정종호 기자 = 3일 오전 3시 7분께 경남 양산시 호계동의 한 금속 가공공장에서 불이 났다.
    이 불로 공장 3개 동 가운데 2개 동이 전소했고 1개 동이 일부 탔다.
    화재 당시 공장 내부에서 사람이 없어 인명피해는 발생하지 않았다.
    불은 인근 주민의 신고로 출동한 소방당국에 의해 이날 오전 4시 54분께 모두 꺼졌다.
    소방당국은 정확한 화재 원인과 피해 규모를 조사하고 있다.
    jjh23@yna.co.kr
(끝)

",2024-01-03 06:22:51,연합뉴스,지진
