t,prev_window_start,prev_window_end,cur_window_start,cur_window_end,jsd,tau_noise,cusum_S,H,state,prev_base_docs,prev_final_docs,prev_base_tokens,prev_final_tokens,prev_base_nonzero_days,prev_boot_applied,prev_boot_extra_draws,prev_dup_rate_extra,prev_dup_rate_total,cur_base_docs,cur_final_docs,cur_base_tokens,cur_final_tokens,cur_base_nonzero_days,cur_boot_applied,cur_boot_extra_draws,cur_dup_rate_extra,cur_dup_rate_total,row_color
0,2021-01-01,2021-02-25,2021-01-08,2021-03-04,0.003176282159329598,0.0036,0.0,0.02,CLEAR,1810,1810,835895,835895,56,0,0,0.0,0.0,1810,1810,836419,836419,56,0,0,0.0,0.0,OK
1,2021-01-08,2021-03-04,2021-01-15,2021-03-11,0.0041997168966497215,0.0036,0.0005997168966497216,0.02,WATCH,1810,1810,836419,836419,56,0,0,0.0,0.0,1780,1780,822568,822568,56,0,0,0.0,0.0,OK
2,2021-01-15,2021-03-11,2021-01-22,2021-03-18,0.004264445317330323,0.0036,0.0012641622139800447,0.02,WATCH,1780,1780,822568,822568,56,0,0,0.0,0.0,1736,1736,804386,804386,56,0,0,0.0,0.0,OK
3,2021-01-22,2021-03-18,2021-01-29,2021-03-25,0.00403761750397511,0.0036,0.001701779717955155,0.02,WATCH,1736,1736,804386,804386,56,0,0,0.0,0.0,1693,1693,774903,774903,56,0,0,0.0,0.0,OK
4,2021-01-29,2021-03-25,2021-02-05,2021-04-01,0.004472278962041219,0.0036,0.002574058679996374,0.02,WATCH,1693,1693,774903,774903,56,0,0,0.0,0.0,1666,1666,766330,766330,56,0,0,0.0,0.0,OK
5,2021-02-05,2021-04-01,2021-02-12,2021-04-08,0.003870991659260757,0.0036,0.002845050339257131,0.02,WATCH,1666,1666,766330,766330,56,0,0,0.0,0.0,1663,1663,760660,760660,56,0,0,0.0,0.0,OK
6,2021-02-12,2021-04-08,2021-02-19,2021-04-15,0.00461608412816285,0.0036,0.0038611344674199808,0.02,WATCH,1663,1663,760660,760660,56,0,0,0.0,0.0,1714,1714,781576,781576,56,0,0,0.0,0.0,OK
7,2021-02-19,2021-04-15,2021-02-26,2021-04-22,0.004234372525743237,0.0036,0.004495506993163218,0.02,WATCH,1714,1714,781576,781576,56,0,0,0.0,0.0,1689,1689,768153,768153,56,0,0,0.0,0.0,OK
8,2021-02-26,2021-04-22,2021-03-05,2021-04-29,0.0043409129797047225,0.0036,0.005236419972867941,0.02,WATCH,1689,1689,768153,768153,56,0,0,0.0,0.0,1755,1755,795390,795390,56,0,0,0.0,0.0,OK
9,2021-03-05,2021-04-29,2021-03-12,2021-05-06,0.003956480648240408,0.0036,0.005592900621108348,0.02,WATCH,1755,1755,795390,795390,56,0,0,0.0,0.0,1737,1737,787179,787179,56,0,0,0.0,0.0,OK
10,2021-03-12,2021-05-06,2021-03-19,2021-05-13,0.003963454600859728,0.0036,0.005956355221968077,0.02,WATCH,1737,1737,787179,787179,56,0,0,0.0,0.0,1724,1724,772884,772884,56,0,0,0.0,0.0,OK
11,2021-03-19,2021-05-13,2021-03-26,2021-05-20,0.0035747856167881367,0.0036,0.0059311408387562135,0.02,WATCH,1724,1724,772884,772884,56,0,0,0.0,0.0,1719,1719,774626,774626,56,0,0,0.0,0.0,OK
12,2021-03-26,2021-05-20,2021-04-02,2021-05-27,0.004175941810202726,0.0036,0.0065070826489589395,0.02,WATCH,1719,1719,774626,774626,56,0,0,0.0,0.0,1714,1714,770053,770053,56,0,0,0.0,0.0,OK
13,2021-04-02,2021-05-27,2021-04-09,2021-06-03,0.004064856833345932,0.0036,0.006971939482304871,0.02,WATCH,1714,1714,770053,770053,56,0,0,0.0,0.0,1744,1744,779983,779983,56,0,0,0.0,0.0,OK
14,2021-04-09,2021-06-03,2021-04-16,2021-06-10,0.00463247769304998,0.0036,0.008004417175354852,0.02,WATCH,1744,1744,779983,779983,56,0,0,0.0,0.0,1716,1716,759834,759834,56,0,0,0.0,0.0,OK
15,2021-04-16,2021-06-10,2021-04-23,2021-06-17,0.004738365111588239,0.0036,0.009142782286943091,0.02,WATCH,1716,1716,759834,759834,56,0,0,0.0,0.0,1815,1815,794283,794283,56,0,0,0.0,0.0,OK
