percentile,logit_diff_1m0,p1_from_logit
0,-8.0,0.0003353501304664781
1,-7.25,0.0007096703991005881
2,-7.125,0.0008040859356292356
3,-7.0,0.0009110511944006454
4,-6.875,0.0010322310367548194
5,-6.75,0.0011695102650555148
6,-6.625,0.0013250224172131609
7,-6.625,0.0013250224172131609
8,-6.5,0.0015011822567369917
9,-6.375,0.001700722411435288
10,-6.375,0.001700722411435288
11,-6.25,0.0019267346633274757
12,-6.25,0.0019267346633274757
13,-6.125,0.0021827164453451808
14,-6.125,0.0021827164453451808
15,-6.0,0.0024726231566347743
16,-6.0,0.0024726231566347743
17,-5.875,0.0028009269671209736
18,-5.75,0.0031726828424851893
19,-5.75,0.0031726828424851893
20,-5.625,0.00359360258142009
21,-5.625,0.00359360258142009
22,-5.5,0.004070137715896128
23,-5.5,0.004070137715896128
24,-5.375,0.004609572179374208
25,-5.25,0.005220125693558397
26,-5.25,0.005220125693558397
27,-5.125,0.005911068856243796
28,-5.0,0.0066928509242848554
29,-5.0,0.0066928509242848554
30,-4.875,0.007577241267860811
31,-4.75,0.008577485413711984
32,-4.664999999999992,0.009331353885005892
33,-4.625,0.009708476481474066
34,-4.5,0.01098694263059318
35,-4.375,0.01243165085318582
36,-4.25,0.014063627043245475
37,-4.125,0.015906391711814714
38,-4.0,0.01798620996209156
39,-3.875,0.020332353342658753
40,-3.625,0.025957357197796852
41,-3.5,0.02931223075135632
42,-3.375,0.033085978388704126
43,-3.125,0.042087727915618836
44,-2.875,0.05340332979982423
45,-2.625,0.0675466911396291
46,-2.25,0.09534946489910949
47,-1.875,0.13296424019782926
48,-1.5,0.18242552380635635
49,-0.875,0.29421497216298875
50,-0.25,0.43782349911420193
51,0.375,0.5926665999540697
52,0.875,0.7057850278370112
53,1.375,0.7981867777396212
54,2.125,0.8933094060543487
55,2.875,0.9465966702001757
56,3.625,0.9740426428022031
57,4.25,0.9859363729567544
58,5.125,0.9940889311437562
59,5.75,0.9968273171575148
60,6.5,0.998498817743263
61,7.0,0.9990889488055994
62,7.5,0.9994472213630764
63,7.875,0.999620015485248
64,8.25,0.9997388096809043
65,8.5,0.9997965730219448
66,8.875,0.9998601779243528
67,9.125,0.9998911030899734
68,9.25,0.9999038975845005
69,9.5,0.9999251537724895
70,9.625,0.9999339478551454
71,9.75,0.9999417087343389
72,9.875,0.9999485577862579
73,10.0,0.9999546021312976
74,10.125,0.9999599363077709
75,10.25,0.9999646437492582
76,10.375,0.9999687980886061
77,10.375,0.9999687980886061
78,10.5,0.9999724643088853
79,10.5,0.9999724643088853
80,10.625,0.9999756997592568
81,10.75,0.9999785550515792
82,10.75,0.9999785550515792
83,10.875,0.999981074851754
84,10.875,0.999981074851754
85,11.0,0.999983298578152
86,11.0,0.999983298578152
87,11.125,0.9999852610180254
88,11.25,0.9999869928715335
89,11.25,0.9999869928715335
90,11.375,0.999988521231873
91,11.5,0.9999898700090192
92,11.5,0.9999898700090192
93,11.625,0.9999910603036951
94,11.75,0.9999921107374138
95,11.875,0.9999930377437499
96,12.0,0.9999938558253978
97,12.125,0.9999945777810301
98,12.25,0.9999952149055051
99,12.5,0.9999962733607158
100,13.25,0.9999982396567868
